cardid	name	type	faction	setcode	setname	no	rules	rarity	def	cost	strikecost	atk	dmgtype	health	all_classes	DeathKnight	Druid	Hunter	Mage	Paladin	Priest	Rogue	Shaman	Warlock	Warrior	instant	race	class	class2	subtype	subtype2	subtype3	subtype4	profession	profession2	block	image	reprinted	classdeck	version	artist	flavour	original	released
218	Cremate	Ability	Neutral	FoH	Fields of Honor	69	Your hero deals 2 fire damage to target hero or ally. If that character would be destroyed this turn, remove it from the game instead.	c		1														x						Destruction						3	cremate			0	Raymond Swanland		0	1
219	Crippling Poison	Ability	Neutral	HoA	Heroes of Azeroth	94	Attach to target hero or ally that was dealt combat damage by your hero this turn.;<b>Ongoing:</b> At the start of each turn, exhaust attached character unless its controller pays 3.	u		1												x				Instant				Poison						1	crippling_poison			0	Mark Romanowski		0	1
220	Crippling Shot	Ability	Neutral	MoL	March of the Legion	35	Target hero or ally has -5 ATK this turn.	c		2								x								Instant				Survival						5	crippling_shot	Class Starter Deck 2011 (Fall),Class Starter Deck 2011 (Spring)	CD2, CD3	97	JonBoy Meyers	A well-placed shot can weaken the strongest arm and slow the swiftest hand.	0	1
221	Crippling Strike	Ability	Neutral	SW	ScourgeWar	115	<b>Ongoing:</b> [Exhaust] -> Target ally has -3 ATK while in combat with your hero this turn.	u		3						x		x												Survival	Unholy					4	crippling_strike			0	Massive Black		0	1
222	Cruelty	Ability	Neutral	TDP	Through the Dark Portal	119	<b>Fury Hero Required</b>; <b>Ongoing:</b>;Your hero has +1 ATK while you have a weapon.	r		3															x					Fury	Talent					1	cruelty	Through the Dark Portal (EA)		97	Mauro Cascioli	"What's the point of doing a job if you're not going to do it well?" - Bulkas Wildhorn	0	1
223	Crusade	Ability	Neutral	SoB	Servants of the Betrayer	71	<b>Retribution Hero Required</b>; <b>Ongoing:</b> Your hero has +2 ATK when attacking.; When your hero deals combat damage to a Demon ally, destroy it.	r		3										x										Retribution	Talent					2	crusade			0	Dave Kendall	"The Light will unite the righteous to strike down the wicked." - Commander Goodchilde	0	1
224	Crusader Strike	Ability	Neutral	DoW	Drums Of War	45	<b>Retribution Hero Required</b>;Your hero deals melee damage to target hero or ally equal to 3 plus the ATK of one of your Melee weapons. You may put an ongoing Judgement or Seal card from your graveyard into play.	r		5										x						Instant				Retribution	Talent					3	crusader_strike			0	Phroilan Gardner		0	1
225	Crusader's Sweep	Ability	Neutral	HfI	Hunt For Illidan	57	Your hero deals 1 unpreventable holy damage to each opposing hero and ally.	c		3										x						Instant				Holy						2	crusaders_sweep	Hunt For Illidan (EA)		97	Ted Beargeon	All are equal before the searing power of the Light.	0	1
226	Crush Soul	Ability	Neutral	HfI	Hunt For Illidan	97	Interrupt target ally card. If you do, remove it from the game and put damage on your hero equal to that card's ATK.	c		2														x		Instant				Destruction						2	crush_soul			0	Dave Allsop	"You didn't even have time to say hello."	0	1
227	Crushing Blow	Ability	Neutral	TDP	Through the Dark Portal	120	Choose one or both: Destroy target armor, or destroy target weapon.	c		4															x					Fury						1	crushing_blow			0	Dave Kendall	Metal is no match for rage.	0	1
228	Crushing Shadows	Ability	Neutral	BT	Black Temple	15	<b>Traitor Hero Required</b>; Each opponent discards a random card, and your hero deals shadow damage to his hero equal to that card's cost.	u		2											x									Traitor						2	crushing_shadows			0	Massive Black	Its darkness can strangle heroes and suffocate hope.	0	1
229	Crushing Strike	Ability	Neutral	WBR	Worldbreaker	114	Destroy target opposing equipment. If you do, your hero may deal 3 melee damage to its controller's hero.	c		3															x					Arms						6	crushing_strike	Class Starter Deck 2011 (Spring),Champion Decks	CD2	97	Alex Horley	"Armor can do only so much." - Peter Hottelet	0	1
230	Cull the Weak	Ability	Neutral	OLT	Onyxia's Lair Treasure	3	Each friendly player may destroy an ally in his party. Your hero deals shadow damage to target hero equal to the combined ATK of the destroyed allies.	u		3														x		Instant				Demonology						1	cull_the_weak			0	Gabe		0	1
231	Curse of Agony	Ability	Neutral	HoA	Heroes of Azeroth	121	Attach to target hero or ally.; <b>Ongoing:</b> At the start of your turn, put an agony counter on Curse of Agony, then your hero deals 1 shadow damage to attached character for each agony counter on Curse of Agony.	r		5														x		Instant				Curse	Affliction					4	curse_of_agony	Class Starter Deck 2010	CD1	97	Mauro Cascioli		0	1
232	Curse of Contagion	Ability	Neutral	MoL	March of the Legion	104	Attach to target ally.; <b>Ongoing:</b> At the start of your turn, your hero deals 1 shadow damage to attached ally.; When attached ally is destroyed, you may put Curse of Contagion from it owner's graveyard into play attached to target ally.	c		2														x		Instant				Curse	Affliction					2	curse_of_contagion			0	Andrea Uderzo		0	1
233	Curse of Doom	Ability	Neutral	WG	Wrathgate	79	Attach to target opposing ally.;<b>Ongoing:</b> At the start of your turn, destroy attached ally. If you do, reveal the top X cards of your deck, where X is the number of resources you control. Put a revealed Demon with cost X or less into play and shuffle the rest into your deck.	u		3														x						Curse	Affliction					4	curse_of_doom			0	Lucas Graciano		0	1
234	Curse of Endless Suffering	Ability	Neutral	BoG	Blood Of Gladiators	68	Attach to target hero or ally.; <b>Ongoing:</b> At the start of your turn, your hero deals 1 shadow damage to attached character.; 3 -> Search your deck for a card named Curse of Endless Suffering and attach it to attach it to attached character.	c		3														x						Curse	Affliction					3	curse_of_endless_suffering			0	Wayne Reynolds		0	1
235	Curse of Exhaustion	Ability	Neutral	HfI	Hunt For Illidan	98	<b>Affliction Hero Required</b>; Target player skips his next turn.	r		9														x						Affliction	Talent	Curse				2	curse_of_exhaustion	Hunt For Illidan (EA)		97	Lucas Graciano	"Submit now and ease your burden." - Little Shizzle	0	1
236	Curse of Fatigue	Ability	Neutral	DoW	Drums Of War	75	Attach to target hero or ally.;<b>Ongoing:</b> At the start of your turn, put a fatigue counter on Curse of Fatigue.;Attached character has -1 health for each fatugue counter.	u		1														x		Instant				Curse	Affliction					3	curse_of_fatigue			0	Dave Allsop	"You look tired."	0	1
237	Curse of Frenzy	Ability	Neutral	SoB	Servants of the Betrayer	109	Attach to target ally.; <b>Ongoing:</b> Attached ally must attack if able and can only attack allies if able.	u		1														x						Curse	Affliction					2	curse_of_frenzy			0	Brandon Kitkouski	"I have seen that look once before - on an orc." - Marlowe Christophers	0	1
238	Curse of Midnight	Ability	Neutral	BoG	Blood Of Gladiators	69	Attach to target hero, and you may turn it face down.; <b>Ongoing:</b> At the start of your turn, your hero deals 1 shadow damage to attached hero.	u		2														x		Instant				Curse	Affliction					3	curse_of_midnight			0	Dave Kendall		0	1
239	Curse of the Elements	Ability	Neutral	FoH	Fields of Honor	70	Attach to target hero.;<b>Ongoing:</b> If attached hero would be dealt fire, frost, or nature damage, it's dealt that much +3 instead.	r		7														x						Curse	Affliction					3	curse_of_the_elements			0	Massive Black		0	1
240	Curse of Tongues	Ability	Neutral	TDP	Through the Dark Portal	103	Attach to target hero.; <b>Ongoing:</b> Attached hero's controller pays 1 more to play abilities.	u		2														x						Curse	Affliction					1	curse_of_tongues			0	Jim Nelson	Sister Clara gasped as she tried to speak and nothing but demonic utterances issued forth.	0	1
241	Curse of Weakness	Ability	Neutral	FoH	Fields of Honor	71	Attach to target hero or ally.;<b>Ongoing:</b> At the start of attached character's controller's turn, exhaust it unless he pays 4.	c		2														x						Curse	Affliction					3	curse_of_weakness	Fields of Honor (EA)		97	Kuki Hwang		0	1
242	Cut to the Chase	Ability	Neutral	SoB	Servants of the Betrayer	89	As an additional cost to play, remove up to five Combo cards in your graveyard from the game.; Your hero deals that much melee damage to each opposing ally.	u		3												x								Finishing Move	Assassination					2	cut_to_the_chase			0	Dave Allsop	"I am an equal-opportunity pain provider." - Jonas White	0	1
243	Cyclone	Ability	Neutral	TDP	Through the Dark Portal	21	Attach to target hero or ally, and put three wind counters on Cyclone.; <b>Ongoing:</b> Attached character can't attack or protect.; At the start of your turn, remove a wind counter from Cyclone. If you removed the last one, destroy Cyclone.	c		1							x									Instant				Balance						1	cyclone	Through the Dark Portal (EA),Archive		97	Kevin Chin	Gentle breezes seldom stay that way for long.	0	1
244	Dampen Magic	Ability	Neutral	TDP	Through the Dark Portal	48	Attach to target friendly hero or ally.; <b>Ongoing:</b> If attached character would be dealt damage with an ability, prevent 1 of that damage.	u		2									x							Instant				Arcane						1	dampen_magic			0	Phroilan Gardner		0	1
245	Dancing Rune Weapon	Ability	Neutral	WBR	Worldbreaker	26	<b>Blood Hero Required</b>; Put a weapon with cost less than or equal to the number of resources you control from your hand into play. At the end of this turn, put that weapon from play into your hand.	r		1						x														Blood	Talent					5	dancing_rune_weapon			0	Dan Scott		0	1
246	Dark Command	Ability	Neutral	WG	Wrathgate	24	Attach to target ally.;<b>Ongoing:</b> Attached ally has -3 ATK, must attack if able, and can attack only your hero if able.	c		1						x														Blood						4	dark_command			0	Massive Black		0	1
247	Dark Extortion	Ability	Neutral	WBR	Worldbreaker	73	Target player chooses an ally he controls. Gain control of that ally.	r		5											x									Shadow						5	dark_extortion	Class Starter Deck 2011 (Fall)	CD3	97	Mike Nicholson	"What a shame your will was not as strong as your body. Now they both belong to me." - Tilly Fiddlelight	0	1
248	Dark Justice	Ability	Neutral	BoG	Blood Of Gladiators	70	Remove target ally from the game and put damage on your hero equal to that ally's ATK.	c		2														x		Instant				Affliction						3	dark_justice	Blood Of Gladiators (EA)		97	Paolo Parente		0	1
249	Dark Pact	Ability	Neutral	HoA	Heroes of Azeroth	122	<b>Affliction Hero Required</b>;.; As an additional cost to play Dark Pact, destroy one of your Pets.; Draw X cards, where X is the cost of the Pet you destroyed.	r		2														x						Affliction	Talent					1	dark_pact			0	Jeremy McHugh		0	1
250	Dark Penance	Ability	Neutral	SW	ScourgeWar	68	Target opponent discards a random card and destroys a random ally he controls.	c		4											x									Shadow						4	dark_penance			0	Jim Nelson		0	1
251	Darkest Before the Light	Ability	Neutral	BoG	Blood Of Gladiators	47	Your hero heals all damage from each friendly hero and ally.	r		8											x									Holy						3	darkest_before_the_light			0	Daarken		0	1
252	Darkness	Ability	Neutral	SoB	Servants of the Betrayer	78	<b>Shadow Hero Required</b>; Target player discards his hand.	r		7											x									Shadow	Talent					2	darkness			0	Mark Gibbons	"Your mind has betrayed you." - Kintara Wintermoon.	0	1
253	Dawn's Grace	Ability	Neutral	DoW	Drums Of War	51	Your hero heals 6 damage divided as you choose from any number of target heroes and/or allies.	u		2											x					Instant				Holy						3	dawns_grace			0	Massive Black	"Let the Light alleviate any wounds you may have received in battle." - Marta Spires	0	1
254	Daze	Ability	Neutral	WBR	Worldbreaker	86	Look at target player's hand and choose a card. He discards that card. ;;<b>Stash</b> <i>(As this enters your resource row, you may have it enter face up. Immediately turn it face down.)</i>: Look at target player's hand.	u		3												x								Combat						5	daze			0	Ralph Horsley		0	1
255	Dead Weight	Ability	Neutral	SW	ScourgeWar	79	Attach to target ally or equipment.;<b>Ongoing:</b> When attached card exhausts, destroy it.	c		2												x								Combo	Assassination					4	dead_weight	Class Starter Deck 2010	CD1	97	Drew Wolf		0	1
256	Deadliness	Ability	Neutral	BoG	Blood Of Gladiators	54	<b>Subtlety Hero Required</b>; Choose one or more: Destroy target exhausted ally; destroy target exhausted equipment; destroy target exhausted resource.	r		4												x								Subtlety	Talent					3	deadliness			0	Jonboy Meyers		0	1
257	Deadly Brew	Ability	Neutral	FoO	Fires of Outland	65	Choose a Poison attached to a hero or ally. Search your deck for a card with the same name and attach it to that character.	u		2												x								Assassination						1	deadly_brew			0	Brian Despain		0	1
258	Deadly Poison	Ability	Neutral	HoA	Heroes of Azeroth	95	Attach to target hero or ally that was dealt combat damage by your hero this turn.; <b>Ongoing:</b> At the start of your turn, your hero deals 2 nature damage to attached character.	u		1												x				Instant				Poison						5	deadly_poison	Class Starter Deck 2011 (Spring),Heroes of Azeroth (EA)	CD2	97	Trevor Jacobs		0	1
259	Deadly Throw	Ability	Neutral	SW	ScourgeWar	80	<b>Finishing Move</b> <i>(To play, remove X Combo cards in your graveyard from the game, where X is 5 or less.)</i>;Your Daggers have <b>Thrown</b> and +X ATK this turn.	r		3												x								Assassination						4	deadly_throw			0	Daarken		0	1
260	Deafening Shout	Ability	Neutral	SoB	Servants of the Betrayer	120	<b>Ongoing:</b> Opposing allies have -3 ATK / -3 health.	r		7															x					Shout	Fury					2	deafening_shout	Archive (EA),Archive		97	Tyler Walpole	The strong lay down only their weapons. The weak lay down their lives.	0	1
261	Death and Decay	Ability	Neutral	SW	ScourgeWar	24	<b>Ongoing:</b> When your hero enters combat with a hero or ally, it deals 1 shadow damage to that character.;<b>Death Rattle</b> <i>(When this ability enters your graveyard from anywhere)</i>: When your hero enters combat with a hero or ally this turn, it deals 1 shadow damage to that character.	u		4						x														Unholy						4	death_and_decay	ScourgeWar (EA)		97	James Ryman		0	1
262	Death Coil	Ability	Neutral	FoO	Fires of Outland	83	Remove target ally in an opponent's party from the game. At the start of your next turn, that opponent puts that ally into play under his control, and your hero deals 2 shadow damage to it.	u		1														x						Affliction						1	death_coil			0	John Polidora	Death is not something you can run from when it comes for you.	0	1
263	Death Coil	Ability	Neutral	DKS	Death Knight Starter	6	Your hero deals 3 shadow damage to target hero or ally. Ready a Ghoul in your party.	u		3						x														Unholy						5	death_coil_dks	Class Starter Deck 2011 (Spring)	CD2	97	Dany Orizio		0	1
264	Death Gate	Ability	Neutral	ICE	Icecrown	19	Destroy a resource you control. If you do, search your deck for a location and put it into play face up and exhausted.	r		2						x														Unholy						4	death_gate			0	Peter Lee		0	1
265	Death Grip	Ability	Neutral	DKS	Death Knight Starter	7	<b>Ongoing:</b> [Exhaust] -> This turn, target opposing hero or ally must attack if able and can attack only your hero if able.	u		2						x														Unholy						3	death_grip			0	Luca Zontini		0	1
266	Death Pact	Ability	Neutral	SW	ScourgeWar	26	As an additional cost to play, destroy an ally you control.;Your hero heals damage from itself equal to that ally's [Health] and has +X ATK this turn, where X was that ally's ATK.	u		2						x														Blood						4	death_pact			0	Brandon Kitkouski		0	1
267	Death Shock	Ability	Neutral	SoB	Servants of the Betrayer	97	<b>Traitor Hero Required</b>; Your hero deals 1 nature damage to target ally for each damage on your hero.	u		2													x			Instant				Traitor						2	death_shock	Servants of the Betrayer (EA)		97	Dave Kendall	"Feel my pain." - Ixamos the Corrupted	0	1
268	Death Trap	Ability	Neutral	SoB	Servants of the Betrayer	48	<b>Traitor Hero Required</b>;<b>Trap</b> <i>(You may exhaust your defending hero rather than pay this card's cost.)</i>; Destroy target attacking ally. If you do, your hero deals 1 nature damage to each hero and ally in that ally's party.	r		5								x								Instant				Traitor						2	death_trap			0	Brandon Kitkouski	"It's a trap!"	0	1
269	Death Wish	Ability	Neutral	SW	ScourgeWar	104	<b>Fury Hero Required</b>;<b>Ongoing:</b> [Exhaust] -> All heroes have +3 ATK this turn.	r		2															x					Fury	Talent					4	death_wish			0	James Zhang		0	1
270	Deathblow	Ability	Neutral	DoW	Drums Of War	59	<b>Finishing Move</b> <i>(To play, remove X Combo cards in your graveyard from the game, where X is 5 or less.)</i>	u		1												x				Instant				Combo	Assassination					3	deathblow	Archive		97	James Zhang		0	1
271	Debilitating Shout	Ability	Neutral	SW	ScourgeWar	105	<b>Ongoing:</b> Opposing allies and weapons have -2 ATK.	u		6															x					Shout	Fury					4	debilitating_shout			0	Pete Venters		0	1
272	Deep Freeze	Ability	Neutral	TDP	Through the Dark Portal	49	Attach to target ally, and your hero deals 2 frost damage to it.; <b>Ongoing:</b> Attached ally can't attack.	c		2									x											Frost						6	deep_freeze	Champion Decks		97	Chris Arneson	When you're cold, you spend a lot of time shivering.	0	1
273	Defender's Vigil	Ability	Neutral	WBR	Worldbreaker	115	This turn, target hero or ally must attack if able, can attack only your hero if able, and has -3 ATK while attacking your hero.	c		1															x	Instant				Protection						5	defenders_vigil			0	Dave Dorman	"Rest easy, friend. You are under my watch now." - Jai Dawnsteel	0	1
274	Defensive Breach	Ability	Neutral	FoO	Fires of Outland	103	Destroy target equipment.	c		5					All	x	x	x	x	x	x	x	x	x	x											1	defensive_breach			0	Paolo Parente	Destroy an enemy's defenses, and he is helpless before you.	0	1
275	Defensive Stance	Ability	Neutral	HoA	Heroes of Azeroth	139	<b>Ongoing:</b> Your hero has <b>Protector</b>.; If your hero would deal damage, prevent 1 of that damage.; If your hero would be dealt damage, prevent 1 of that damage.	r		3															x					Stance (1)	Protection					1	defensive_stance			0	Dave Kendall		0	1
276	Defiance	Ability	Neutral	BoG	Blood Of Gladiators	77	<b>Protection Hero Required</b>; <b>Ongoing:</b> Only one character can attack on each opponent's turn.	r		3															x					Protection	Talent					3	defiance	Blood Of Gladiators (EA)		97	Jonboy Meyers		0	1
277	Deliberate Heal	Ability	Neutral	ICE	Icecrown	47	<b>Ongoing:</b> At the start of your turn, destroy this ability. If you do, your hero heals 5 damage from target hero or ally, and draw a card.	c		2										x										Holy						4	deliberate_heal			0	Jim Nelson		0	1
278	Deliberate Vengeance	Ability	Neutral	ICE	Icecrown	48	<b>Ongoing:</b> At the start of your turn, destroy this ability. If you do, your hero deals 2 unpreventable holy damage to each opposing hero and ally.	c		4										x										Holy						4	deliberate_vengeance			0	Android		0	1
279	Delusions of Grandeur	Ability	Neutral	SW	ScourgeWar	69	Target opponent puts an ability, ally, and equipment he controls into their owner's hands.	c		2											x									Shadow						4	delusions_of_grandeur			0	James Zhang		0	1
280	Dementia	Ability	Neutral	WG	Wrathgate	58	Target player puts the top two cards of his deck into is graveyard. If they're both abilities, both allies, or both equipment, that player discards two cards.	u		2											x									Shadow						4	dementia			0	Puddnhead		0	1
281	Demolish	Ability	Neutral	DoW	Drums Of War	95	Destroy target equipment.	c		1												x			x					Combat	Protection					3	demolish			0	Raymond Swanland		0	1
282	Demon Armor	Ability	Neutral	HfI	Hunt For Illidan	99	<b>Ongoing:</b> 1, Remove an ability card in your graveyard from the game -> Your hero heals 2 damage from itself.	u		5														x						Demonology						2	demon_armor			0	Hideaki Takamura		0	1
283	Demonic Accord	Ability	Neutral	ICE	Icecrown	74	<b>Ongoing:</b> On your turn, 1 [Exhaust] -> Target ally has +1 / -1 this turn.	c		3														x						Affliction						4	demonic_accord			0	Danny Beck		0	1
284	Demonic Knowledge	Ability	Neutral	SoB	Servants of the Betrayer	110	<b>Demonology Hero Required</b>; <b>Ongoing:</b> [Exhaust], Destroy a Demon in your party -> Draw two cards.	r		2														x						Demonology	Talent					2	demonic_knowledge			0	Alex Horley	"Everything has a cost. <em>Everything</em>." - Plague Fleshbane	0	1
285	Demonic Reclamation	Ability	Neutral	WBR	Worldbreaker	103	As an additional cost to play this ability, destroy an ally you control.;Draw two cards.;;<b>Stash:</b> Shuffle target ally in your graveyard into your deck.	u		1														x						Demonology						5	demonic_reclamation			0	Peter Lee		0	1
286	Demonic Soulstone	Ability	Neutral	WBR	Worldbreaker	104	Attach to target ally you control.;<b>Ongoing:</b> When attached ally is destroyed, put it from its owner's graveyard into his hand.	c		1														x						Demonology						5	demonic_soulstone			0	Jim Nelson	"You're done when I say you're done." - Victor Baltus	0	1
288	Demonologist's Pact	Ability	Neutral	AGM	Arena Grand Melee	10	<b>Preparation</b> <i>(On your first turn, you may play this card without paying its cost.)</i>;<b>Ongoing:</b> You pay 1 less to play pets.	r		2														x						Arena	Demonology					3	demonologists_pact			0	Dave Kendall		0	1
289	Demoralizing Roar	Ability	Neutral	FoO	Fires of Outland	20	<b>Ongoing:</b> Opposing allies have -2 ATK.;Your hero is in bear form. <i>(Has <b>Protector</b>. Destroy this card when you strike with a weapon or play a non-Feral ability.)</i>	r		6							x									Instant				Form (1)	Feral					1	demoralizing_roar			0	Alex Horley		0	1
290	Demoralizing Shout	Ability	Neutral	HoA	Heroes of Azeroth	140	<b>Ongoing:</b> Opposing allies have -1 ATK	u		3															x	Instant				Shout	Fury					1	demoralizing_shout			0	Tristan Elwell	The orc's mighty bellow could unnerve even the bravest of foes.	0	1
291	Desperate Block	Ability	Neutral	TDP	Through the Dark Portal	139	Prevent the next 2 damage that would be dealt to target hero or ally this turn.	c		2					All	x	x	x	x	x	x	x	x	x	x	Instant										1	desperate_block			0	Brandon Kitkouski		0	1
292	Desperate Condemnation	Ability	Neutral	ICE	Icecrown	53	If your hero has 15 or more damage, it deals 5 unpreventable holy damage to target ally.	c		1											x					Instant				Holy						4	desperate_condemnation			0	Mark Zug		0	1
293	Desperate Plea	Ability	Neutral	ICE	Icecrown	54	If your hero has 15 or more damage, it heals 10 damage from itself.	c		2											x					Instant				Holy						4	desperate_plea			0	Steve Tappin		0	1
294	Detect Prey	Ability	Neutral	WBR	Worldbreaker	46	Allies you control have <b>Long-Range</b> while in combat with target hero or ally this turn. ;;<b>Stash</b> <i>(As this enters your resource row, you may have it enter face up. Immediately turn it face down.)</i>: Your hero has <b>Long-Range</b> this turn.	u		2								x												Survival						5	detect_prey			0	Alex Garner		0	1
295	Detect Traps	Ability	Neutral	DoW	Drums Of War	60	Choose "ability," "ally," or "equipment," and then target player reveals his hand and discards all cards of that kind.	r		4												x								Subtlety						3	detect_traps	Drums Of War (EA)		97	Scott Altmann	"No surprises here."	0	1
296	Detonate Soul	Ability	Neutral	SW	ScourgeWar	95	Attach to target opposing ally.;<b>Ongoing:</b> At the start of your turn, remove attached ally and all other opposing allies from the game.	r		3														x						Affliction						4	detonate_soul			0	Raymond Swanland		0	1
297	Devastate	Ability	Neutral	FoO	Fires of Outland	92	<b>Protection Hero Required</b>; Your hero deals melee damage to target hero or ally equal to the ATK of one of your Melee weapons. This turn, that character must attack if able and can attack only your hero if able.	r		2															x	Instant				Protection	Talent					1	devastate			0	Dan Dos Santos		0	1
298	Devastation	Ability	Neutral	WG	Wrathgate	80	<b>Destruction Hero Required</b>; As an additional cost to play, choose "ability", "ally", or "equipment" and destroy a card you control of that kind. Destroy all opposing cards of that kind.	r		7														x						Destruction	Talent					4	devastation			0	J. P. Targete		0	1
299	Devotion Aura	Ability	Neutral	HoA	Heroes of Azeroth	66	<b>Ongoing:</b> If a hero or ally in your party would be dealt damage, prevent 1 of that damage.	r		5										x										Aura (1)	Protection					1	devotion_aura			0	Paul Jeacock	"By safeguarding those around him, a paladin aids in his own defense." - Uther the Lightbringer	0	1
300	Devouring Plague	Ability	Neutral	SW	ScourgeWar	70	Attach to target hero.;<b>Ongoing:</b> At the start of your turn, your hero deals 3 shadow damage to attached hero. Attached hero's controller discards a card for each damage dealt this way.	r		4											x									Shadow						4	devouring_plague	ScourgeWar (EA)		97	Raymond Swanland		0	1
301	Diplomacy	Ability	Alliance	TDP	Through the Dark Portal	128	<b>Human Hero Required</b>; <b>Ongoing:</b> You pay 1 less to play allies, to a minimum of 1.	u		3					All	x	x	x	x	x	x	x	x	x	x											1	diplomacy	Through the Dark Portal (EA)		97	Boros-Szikszai	Personality goes a long way.	0	1
302	Dire Bear Form	Ability	Neutral	WG	Wrathgate	31	<b>Ongoing:</b> Your hero has Bear Form. <i>(Has <b>Protector</b>. Destroy this card when you strike with a weapon or play a non-Feral ability.)</i> Your hero has +5 [Health] for each ally you control.	u		3							x									Instant				Form (1)	Feral					4	dire_bear_form			0	Jim Nelson		0	1
303	Dirty Work	Ability	Neutral	HfI	Hunt For Illidan	75	<b>Ongoing:</b> If your hero would deal non-combat damage, it deals combat damage instead.	r		2												x								Combat						2	dirty_work			0	Christopher Moeller	You never know what you'll get from a rogue. It's sort of their thing.	0	1
304	Disappear	Ability	Neutral	BoG	Blood Of Gladiators	84	Your hero is <b>Elusive</b> this turn. <i>(It can't be attacked.)</i>	c		2									x		x					Instant				Arcane	Shadow					3	disappear			0	Jon Foster		0	1
305	Disarm	Ability	Neutral	HfI	Hunt For Illidan	105	Destroy all of target player's weapons.	c		1															x					Protection						2	disarm			0	Scott Altmann	"How about fisticuffs?"	0	1
306	Disarm Trap	Ability	Neutral	SW	ScourgeWar	81	Interrupt target instant.	c		1												x				Instant				Subtlety						4	disarm_trap			0	Efrem Palacios		0	1
307	Disassemble	Ability	Neutral	HfI	Hunt For Illidan	76	Destroy target exhausted equipment.	c		1												x				Instant				Combo	Combat					2	disassemble			0	Dany Orizio	"Well, at least you got to use it once." - Koth	0	1
308	Disco Inferno!	Ability	Neutral	HfI	Hunt For Illidan	115	<b>Ongoing:</b> At the end of your turn, ready all exhausted heroes and allies in your party, then exhaust all other heroes and allies in your party.	r		5					All	x	x	x	x	x	x	x	x	x	x											2	disco_inferno	Hunt For Illidan (Loot)		97	James Zhang	"As you as good on the battlefield as you are on the dance floor?"	0	1
309	Dismantle	Ability	Neutral	HoA	Heroes of Azeroth	96	Destroy target equipment.	u		2												x								Combat						5	dismantle	Class Starter Deck 2010,Class Starter Deck 2011 (Spring)	CD1, CD2	97	Ariel Olivetti	"With one well-timed strike, any opponent can be stripped of his defenses." - The Assassin's Creed, Chapter 2	0	1
310	Dispel Magic	Ability	Neutral	HoA	Heroes of Azeroth	77	Destroy target ability.	u		1											x					Instant				Discipline						5	dispel_magic	Class Starter Deck 2010,Class Starter Deck 2011 (Spring),Archive	CD1, CD2	97	Rebecca Guay	A fool and her blessings are soon parted.	0	1
311	Disperse Magic	Ability	Neutral	BoG	Blood Of Gladiators	48	<b>Ongoing:</b> Destroy Disperse Magic -> Destroy target ability.	c		1											x									Discipline						3	disperse_magic			0	UDON		0	1
312	Dispersion	Ability	Neutral	SW	ScourgeWar	71	<b>Shadow Hero Required</b>;<b>Ongoing:</b> This ability enters play with two incorporeal counters.;Prevent all damage that would be dealt to your hero.;At the start of your turn, remove an incorporeal counter. If none remain, destroy this ability.	r		2											x					Instant				Shadow	Talent					4	dispersion			0	Raymond Swanland		0	1
313	Distract	Ability	Neutral	TDP	Through the Dark Portal	81	Exhaust all allies in target player's party. Each of those allies can't ready during its controller's next ready step.	c		3												x								Subtlety						5	distract	Class Starter Deck 2010,Class Starter Deck 2011 (Spring)	CD1, CD2	97	Mark Evans	Misdirection is the art of making someone see or hear what isn't there.	0	1
314	Diversion	Ability	Neutral	SoB	Servants of the Betrayer	90	<b>Ongoing:</b> [Exhaust], Exhaust an ally in your party -> Your hero has +2 ATK and <b>Stealth</b> this turn.	c		3												x								Subtlety						2	diversion			0	Ron Spencer	"I don't care what you do. Jump up and down. Yell. Dance. Just get their attention." - Ressa Shadeshine	0	1
315	Divert	Ability	Neutral	ICE	Icecrown	62	Attach to target ability, ally or equipment you control.;<b>Ongoing:</b> Opposing cards and effects must target attached card if able.	c		1												x								Combo	Subtlety					4	divert			0	Christopher Moeller		0	1
316	Divine Cleansing	Ability	Neutral	WBR	Worldbreaker	67	Destroy any number of abilities attached to friendly cards.	u		2										x										Holy						5	divine_cleansing			0	Zoltan Boros and Gabor Szikszai	"Those who possess true purity of mind and body are capable of turning it outward." - Rekwa Proudhorn	0	1
317	Divine Favor	Ability	Neutral	BoG	Blood Of Gladiators	41	<b>Holy Hero Required</b>; <b>Ongoing:</b> [Exhaust], Remove the top X cards of your deck from the game -> Your hero heals X damage from target hero or ally.	r		5										x										Holy	Talent					3	divine_favor	Blood Of Gladiators (EA)		97	Glenn Rane		0	1
318	Divine Fury	Ability	Neutral	WBR	Worldbreaker	74	<b>Holy Hero Required</b>; Your hero deals 5 unpreventable holy damage to target hero or ally and heals 5 damage from target hero or ally.	r		4											x									Holy	Talent					5	divine_fury			0	Jim Nelson		0	1
319	Divine Hymn	Ability	Neutral	WBR	Worldbreaker	75	<b>Ongoing:</b> At the start of your turn, your hero heals 2 damage from each hero and ally you control. At the end of your turn, destroy this ability if you don't control an ally.	u		2											x									Holy						5	divine_hymn			0	Paul Mafayon	"As long as one voice is left to lift in prayer, the song will never fade." - Yuna Sunridge	0	1
320	Divine Illumination	Ability	Neutral	FoO	Fires of Outland	48	<b>Holy Hero Required</b>; ; You pay 1 less to play abilities this turn, to a minimum of 1. ; Draw a card.	r		1										x										Holy	Talent					1	divine_illumination			0	John Avon		0	1
